Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"🏃 18km di corsa facile • 18km"	"02.10.2026"	"03.10.2026"	"Easy Run • 18km • 1h30m - 1h40m  18km di corsa facile a passoconversazionale (non più veloce di 5:10/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_18_EASY_RUN_1&weekIndex=18"	""	""
"🏃 26km di lungo • 26km"	"06.09.2026"	"07.09.2026"	"Long Run • 26km • 2h10m - 2h20m  26km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_14_LONG_RUN_0&weekIndex=14"	""	""
"🏃 12km di corsa facile • 12km"	"14.07.2026"	"15.07.2026"	"Easy Run • 12km • 1h0m - 1h10m  12km di corsa facile a passo conversazionale (non più veloce di 5:15/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in theRunna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_7_EASY_RUN_0&weekIndex=7"	""	""
"🏃 12km di corsa facile • 12km"	"17.07.2026"	"18.07.2026"	"Easy Run • 12km • 1h0m - 1h10m  12km di corsa facile a passo conversazionale (non più veloce di 5:15/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in theRunna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_7_EASY_RUN_1&weekIndex=7"	""	""
"🏃 16km di lungo • 16km"	"20.09.2026"	"21.09.2026"	"Long Run • 16km • 1h20m - 1h30m  16km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_16_LONG_RUN_0&weekIndex=16"	""	""
"🏃 Ripetute sul miglio • 13,1km"	"23.09.2026"	"24.09.2026"	"Intervals • 13,1km • 1h0m - 1h20m  2,5km di riscaldamento apasso conversazionale (non più veloce di 5:10/km), Camminata di riposo di90 s  6 ripetizioni di: • 1,6km a 4:05/km (3:55-4:15/km), Camminata di riposo di 120 s  1km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_17_INTERVALS_0&weekIndex=17"	""	""
"🏃 Lungo di preparazione alla gara di 34 km • 34km"	"11.10.2026"	"12.10.2026"	"Long Run • 34km • 2h30m - 2h50m  8km a passo conversazionale 8km a 4:40/km 17km a 4:30/km (il tuo ritmo Marathon target) 1km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_19_LONG_RUN_0&weekIndex=19"	""	""
"🏃 12km di corsa facile • 12km"	"28.07.2026"	"29.07.2026"	"Easy Run • 12km • 1h0m - 1h10m  12km di corsa facile a passo conversazionale (non più veloce di 5:15/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in theRunna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_9_EASY_RUN_0&weekIndex=9"	""	""
"🏃 Lungo progressivo a ripetute di 26 km • 26km"	"21.06.2026"	"22.06.2026"	"Long Run • 26km • 2h0m - 2h20m  6,5km a passo conversazionale 3,5km a 4:55/km 3,5km a 4:40/km 5,5km a 5:05/km 3,5km a 4:55/km 3,5km a 4:40/km  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_3_LONG_RUN_0&weekIndex=3"	""	""
"🏃 15km di lungo • 15km"	"28.06.2026"	"29.06.2026"	"Long Run • 15km • 1h10m - 1h30m  15km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_4_LONG_RUN_0&weekIndex=4"	""	""
"🏃 17km di corsa facile • 17km"	"09.10.2026"	"10.10.2026"	"Easy Run • 17km • 1h20m - 1h30m  17km di corsa facile a passoconversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_19_EASY_RUN_1&weekIndex=19"	""	""
"🏃 1 km a ritmo alternato • 12km"	"03.06.2026"	"04.06.2026"	"Tempo • 12km • 55m - 1h10m  2km di riscaldamento a passo conversazionale (non più veloce di 5:25/km)  Ripeti i seguenti passaggi 4x: ---------- 1km a 4:45/km 1km a 4:25/km ----------  Camminata di riposodi 90 s  2km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_1_TEMPO_0&weekIndex=1"	""	""
"🏃 Cronometro di 5 miglia • 9,1km"	"16.09.2026"	"17.09.2026"	"Time Trial • 9,1km • 35m - 45m  1km di riscaldamento a passoconversazionale (non più veloce di 5:10/km), Camminata di riposo di 120 s  Prova a tempo di 8,05km a 4:10/km  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_16_TIME_TRIAL_0&weekIndex=16"	""	""
"🏃 18km di corsa facile • 18km"	"03.11.2026"	"04.11.2026"	"Easy Run • 18km • 1h30m - 1h40m  18km di corsa facile a passoconversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_23_EASY_RUN_0&weekIndex=23"	""	""
